dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
folktables,folktables_CA_2018,logreg,42,4000,0.793,0.7393225331369662,RAC1P,6.0,0.8747474747474747,0.5060240963855422,0.2606774668630339,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,logreg,43,4000,0.783,0.7142857142857143,RAC1P,3.0,0.3727991899246883,0.7126436781609196,0.1857142857142857,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,logreg,44,4000,0.777,0.6,RAC1P,5.0,0.8901345291479821,1.0,0.4,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,logreg,45,4000,0.78125,0.7403314917127072,RAC1P,2.0,0.48660084626234135,0.49637681159420294,0.2596685082872928,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,logreg,46,4000,0.77775,0.6428571428571429,RAC1P,5.0,0.3439446226064324,0.4030612244897959,0.29464285714285715,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,mlp,42,4000,0.802,0.7746686303387335,RAC1P,6.0,0.9166666666666666,0.6144578313253012,0.22533136966126657,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,mlp,43,4000,0.7955,0.7142857142857143,RAC1P,3.0,0.396588823492184,0.6206896551724138,0.1857142857142857,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,mlp,44,4000,0.79975,0.6,RAC1P,5.0,0.8766816143497758,0.8,0.4,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,mlp,45,4000,0.78725,0.712707182320442,RAC1P,2.0,0.3988674309548781,0.4873188405797101,0.162292817679558,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,mlp,46,4000,0.78775,0.7142857142857143,RAC1P,5.0,0.3777537646402677,0.4025922869147659,0.2232142857142857,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,xgboost,42,4000,0.829,0.7997054491899853,RAC1P,6.0,0.9166666666666666,0.85,0.20029455081001474,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,xgboost,43,4000,0.8115,0.7142857142857143,RAC1P,3.0,0.4010315802797291,0.4977043158861341,0.13130252100840334,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
folktables,folktables_CA_2018,xgboost,44,4000,0.815,0.6,RAC1P,5.0,0.8923766816143498,1.0,0.4,0.8093912362668771,0.37502997691829965,0.24586666666666668,0.096,,ML
