dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
german_credit,german_credit_slice_02_n600,mlp,43,120,0.7166666666666667,0.5,age_bin,65+,0.08695652173913049,0.1428571428571429,0.33783783783783783,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,mlp,44,120,0.7166666666666667,0.6428571428571429,age_bin,46-65,0.13043478260869568,0.3411371237458194,0.35714285714285715,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,mlp,45,120,0.7833333333333333,0.5,age_bin,65+,0.28,0.5555555555555556,0.3157894736842105,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,mlp,46,120,0.775,0.6,age_bin,<=25,0.19999999999999996,0.7142857142857143,0.4,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,xgboost,42,120,0.8833333333333333,0.8571428571428571,age_bin,46-65,0.3047619047619048,0.4888888888888889,0.09285714285714285,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,xgboost,43,120,0.7583333333333333,0.5,age_bin,65+,0.26086956521739135,0.5555555555555556,0.33783783783783783,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,xgboost,44,120,0.875,0.8378378378378378,sex,female,0.30434782608695654,0.20833333333333331,0.16216216216216217,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,xgboost,45,120,0.8583333333333333,0.5,age_bin,65+,0.43999999999999995,0.8888888888888888,0.40909090909090906,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,xgboost,46,120,0.875,0.8,age_bin,<=25,0.4,0.35714285714285715,0.2,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_03_n700,logreg,42,140,0.7857142857142857,0.6785714285714286,age_bin,<=25,0.4,0.6571428571428573,0.32142857142857145,0.7444747921363479,0.5327166522765235,0.45999999999999996,0.22142857142857142,,ML
german_credit,german_credit_slice_03_n700,logreg,43,140,0.7857142857142857,0.6,age_bin,<=25,0.23333333333333328,0.358974358974359,0.4,0.7444747921363479,0.5327166522765235,0.45999999999999996,0.22142857142857142,,ML
