dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
diabetes_130,diabetes_130_home_n15000,xgboost,43,3000,0.8986666666666666,0.8858075040783034,race,AfricanAmerican,0.0014084507042253522,0.013333333333333334,0.11419249592169657,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,xgboost,44,3000,0.898,0.8688524590163934,race,Hispanic,0.014084507042253521,0.05084745762711865,0.08114754098360656,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,xgboost,45,3000,0.8976666666666666,0.8840579710144928,race,Hispanic,0.014492753623188406,0.021929824561403508,0.07246376811594203,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,xgboost,46,3000,0.8986666666666666,0.8941918054930211,race,Caucasian,0.00405222872579919,0.025210084033613446,0.07723676593555028,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_hospice_n771,logreg,42,155,0.9419354838709677,0.9090909090909091,race,AfricanAmerican,0.0,0.0,0.09090909090909091,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,logreg,43,155,0.9419354838709677,0.6666666666666666,race,Other,0.0,0.0,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,logreg,44,155,0.9419354838709677,0.75,race,Other,0.0,0.0,0.25,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,logreg,45,155,0.9419354838709677,0.6666666666666666,race,Other,0.0,0.0,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,logreg,46,155,0.9419354838709677,0.8333333333333334,race,AfricanAmerican,0.0,0.0,0.16666666666666666,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,mlp,42,155,0.9419354838709677,0.9090909090909091,race,AfricanAmerican,0.0,0.0,0.09090909090909091,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,mlp,43,155,0.9419354838709677,0.6666666666666666,race,Other,0.0,0.0,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,mlp,44,155,0.9419354838709677,0.75,race,Other,0.0,0.0,0.25,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,mlp,45,155,0.9354838709677419,0.6666666666666666,race,Other,0.038461538461538464,0.043478260869565216,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,mlp,46,155,0.9419354838709677,0.8333333333333334,race,AfricanAmerican,0.0,0.0,0.16666666666666666,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,xgboost,42,155,0.9354838709677419,0.9090909090909091,race,AfricanAmerican,0.011627906976744186,0.0125,0.09090909090909091,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,xgboost,43,155,0.9419354838709677,0.6666666666666666,race,Other,0.0,0.0,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,xgboost,44,155,0.9419354838709677,0.75,race,Other,0.0,0.0,0.25,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,xgboost,45,155,0.9419354838709677,0.6666666666666666,race,Other,0.0,0.0,0.3333333333333333,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_hospice_n771,xgboost,46,155,0.9483870967741935,0.8333333333333334,race,AfricanAmerican,0.01282051282051282,0.25,0.16666666666666666,0.7203274965650344,0.4323450137172438,0.25801922158669527,0.10676277460014291,,ML
diabetes_130,diabetes_130_other_n4942,logreg,42,989,0.8705763397371082,0.7142857142857143,race,nan,0.01276595744680851,0.027777777777777776,0.2857142857142857,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,logreg,43,989,0.8736097067745198,0.75,race,Asian,0.012987012987012988,0.058823529411764705,0.15,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,logreg,44,989,0.8705763397371082,0.7619047619047619,race,Other,0.007874015748031496,0.034482758620689655,0.23809523809523808,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,logreg,45,989,0.8725985844287159,0.76,race,Hispanic,0.00816326530612245,0.047619047619047616,0.24,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,logreg,46,989,0.8705763397371082,0.8,race,Other,0.008888888888888889,0.04,0.2,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,mlp,42,989,0.8705763397371082,0.7142857142857143,race,nan,0.0,0.0,0.2857142857142857,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,mlp,43,989,0.8705763397371082,0.75,race,Asian,0.0,0.0,0.15,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,mlp,44,989,0.8705763397371082,0.7619047619047619,race,Other,0.0,0.0,0.23809523809523808,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,mlp,45,989,0.8705763397371082,0.76,race,Hispanic,0.0,0.0,0.24,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,mlp,46,989,0.8695652173913043,0.8,race,Other,0.003861003861003861,0.004545454545454545,0.2,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,xgboost,42,989,0.8675429726996967,0.7142857142857143,race,nan,0.1,1.0,0.2857142857142857,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,xgboost,43,989,0.8594539939332659,0.75,race,Asian,0.1111111111111111,0.125,0.15,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,xgboost,44,989,0.871587462082912,0.8095238095238095,race,Other,0.047619047619047616,0.2,0.19047619047619047,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
